Game,Publisher,Publisher2,Genre,Genre2,Release.Year,Release.Year2,ESRB.Rating,ESRB.Rating2,Multiplayer,Multiplayer2,Metacritic.Score,Exclusivity,Sales.N.A.,Sales.Eur,Sales.Jap,Sales.Other,Sales.Total
Mario Superstar Baseball,Nintendo,Nintendo,Sports,Sports,2005,2005,E,EE10,2,2,76,Yes,0.93,0.24,0.25,0.04,1.46
Mark Davis Pro Bass Challenge,Natsume,Other,Sports,Sports,2005,2005,E,EE10,2,2,NA,No,0.01,NA,NA,NA,0.01
Marvel Nemesis: Rise of the Imperfects,Electronic Arts,Electronic Arts,Fighting,Fighting,2005,2005,T,TM,2,2,54,No,0.3,0.08,NA,0.01,0.38
Mary-Kate and Ashley: Sweet 16 - Licensed to Drive,Acclaim Entertainment,Acclaim Entertainment,Party,Other,2003,2003,E,EE10,4,4,49,No,0.17,0.04,NA,0.01,0.22
Mat Hoffman's Pro BMX 2,Activision,Activision,Sports,Sports,2002,2002,T,TM,2,2,70,No,0.03,0.01,NA,NA,0.04
MC Groovz Dance Craze,Mad Catz,Other,Music,Other,2004,2004,E,EE10,2,2,42,Yes,0.15,0.04,NA,0.01,0.2
Medabots: Infinity,Ubisoft,Ubisoft,RolePlaying,RolePlaying,2003,2003,E,EE10,2,2,51,Yes,0.04,0.01,NA,NA,0.05
Medal of Honor European Assault,Electronic Arts,Electronic Arts,Shooter,Shooter,2005,2005,T,TM,4,4,71,No,0.19,0.05,NA,0.01,0.25
Medal of Honor: Frontline,Electronic Arts,Electronic Arts,Shooter,Shooter,2002,2002,T,TM,4,4,80,No,0.46,0.12,NA,0.02,0.59
Medal of Honor: Rising Sun,Electronic Arts,Electronic Arts,Shooter,Shooter,2003,2003,T,TM,4,4,68,No,0.33,0.09,NA,0.01,0.42
Mega Man Anniversary Collection,Capcom,Capcom,Platformer,Platformer,2004,2004,E,EE10,1,1,81,No,0.32,0.08,NA,0.01,0.42
Mega Man Network Transmission,Capcom,Capcom,Platformer,Platformer,2003,2003,E,EE10,1,1,65,Yes,0.13,0.03,NA,NA,0.17
Mega Man X Collection,Capcom,Capcom,Collection,Other,2006,2005,E,EE10,2,2,75,No,0.1,0.03,NA,NA,0.13
Mega Man X: Command Mission,Capcom,Capcom,RolePlaying,RolePlaying,2004,2004,E,EE10,1,1,67,No,0.1,0.02,NA,NA,0.12
Men in Black II: Alien Escape,Infogrames Entertainment,Other,Shooter,Shooter,2003,2003,T,TM,1,1,NA,No,0.01,NA,NA,NA,0.01
Metal Arms: Glitch in the System,Vivendi Games,Vivendi Games,Shooter,Shooter,2003,2003,T,TM,4,4,83,No,0.08,0.02,NA,NA,0.1
Metal Gear Solid: The Twin Snakes,Konami Digital Entertainment,Konami Digital Entertainment,ActionAdventure,ActionAdventure,2004,2004,M,TM,1,1,85,Yes,0.3,0.08,0.07,0.01,0.47
Metroid Prime,Nintendo,Nintendo,Shooter,Shooter,2002,2002,T,TM,1,1,97,Yes,1.96,0.67,0.1,0.09,2.82
Metroid Prime 2: Echoes,Nintendo,Nintendo,Shooter,Shooter,2004,2004,T,TM,4,4,92,Yes,0.87,0.35,0.07,0.04,1.33
Micro Machines,Atari,Atari,Racing,Racing,2003,2003,E,EE10,4,4,NA,No,NA,NA,NA,NA,NA
Midway Arcade Treasures,Midway Games,Midway Games,Collection,Other,2003,2003,T,TM,4,4,72,No,0.13,0.03,NA,NA,0.17
Midway Arcade Treasures 2,Midway Games,Midway Games,Collection,Other,2004,2004,M,TM,4,4,74,No,0.13,0.03,NA,NA,0.16
Midway Arcade Treasures 3,Midway Games,Midway Games,Collection,Other,2005,2005,E,EE10,4,4,65,No,0.05,0.01,NA,NA,0.07
Minority Report: Everybody Runs,Activision,Activision,ActionAdventure,ActionAdventure,2002,2002,T,TM,1,1,53,No,0.08,0.02,NA,NA,0.1
Mission: Impossible - Operation Surma,Atari,Atari,Platformer,Platformer,2004,2004,T,TM,1,1,64,No,0.01,NA,NA,NA,0.02
MLB SlugFest 20-03,Midway Games,Midway Games,Sports,Sports,2002,2002,E,EE10,2,2,80,No,0.11,0.03,NA,NA,0.15
MLB SlugFest 20-04,Midway Games,Midway Games,Sports,Sports,2003,2003,E,EE10,2,2,76,No,0.03,0.01,NA,NA,0.04
Mobile Suit Gundam: Gundam vs. Z Gundam,Namco Bandai Games,Namco Bandai Games,Shooter,Shooter,2004,2004,T,TM,2,2,NA,No,NA,NA,NA,NA,NA
Mobile Suit Gundam: Senshitachi no Kiseki,Namco Bandai Games,Namco Bandai Games,ActionAdventure,ActionAdventure,2004,2004,NA,NA,1,1,NA,Yes,NA,NA,NA,NA,NA
Momotarou Dentetsu 11,Hudson Soft,Other,Miscellaneous,Other,2002,2002,NA,NA,1,1,NA,No,NA,NA,0.07,NA,0.08
Momotarou Dentetsu 12,Hudson Soft,Other,Miscellaneous,Other,2003,2003,NA,NA,1,1,NA,No,NA,NA,NA,NA,NA
Monopoly Party,Infogrames Entertainment,Other,Party,Other,2002,2002,E,EE10,4,4,65,No,0.1,0.03,NA,NA,0.13
Monster 4x4: Masters of Metal,Ubisoft,Ubisoft,Racing,Racing,2003,2003,E,EE10,2,2,49,No,0.04,0.01,NA,NA,0.05
Monster House,THQ,THQ,ActionAdventure,ActionAdventure,2006,2005,E10,EE10,1,1,60,No,0.11,0.03,NA,NA,0.14
Monster Jam: Maximum Destruction,Ubisoft,Ubisoft,Racing,Racing,2002,2002,T,TM,4,4,NA,No,0.04,0.01,NA,NA,0.05
"Monsters, Inc. Scream Arena",THQ,THQ,Platformer,Platformer,2002,2002,E,EE10,4,4,39,Yes,0.29,0.07,NA,0.01,0.37
Mortal Kombat: Deadly Alliance,Midway Games,Midway Games,Fighting,Fighting,2002,2002,M,TM,2,2,81,No,0.31,0.08,NA,0.01,0.41
Mortal Kombat: Deception,Midway Games,Midway Games,Fighting,Fighting,2005,2005,M,TM,2,2,77,No,0.09,0.02,NA,NA,0.11
Mr. Driller: Drill Land,Namco Bandai Games,Namco Bandai Games,Puzzle,Other,2002,2002,NA,NA,2,2,NA,Yes,NA,NA,NA,NA,NA
Muppets Party Cruise,Take-Two Interactive,Take-Two Interactive,Party,Other,2003,2003,E,EE10,4,4,NA,No,0.02,NA,NA,NA,0.02
Muscle Champion,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2002,2002,NA,NA,4,4,NA,Yes,NA,NA,NA,NA,NA
MVP Baseball 2004,Electronic Arts,Electronic Arts,Sports,Sports,2004,2004,E,EE10,2,2,89,No,0.2,0.05,NA,0.01,0.26
MVP Baseball 2005,Electronic Arts,Electronic Arts,Sports,Sports,2005,2005,E,EE10,2,2,88,No,0.25,0.07,NA,0.01,0.33
MX SuperFly featuring Ricky Carmichael,THQ,THQ,Racing,Racing,2002,2002,E,EE10,2,2,76,No,0.07,0.02,NA,NA,0.09
Mystic Heroes,Tecmo Koei,Other,ActionAdventure,ActionAdventure,2002,2002,T,TM,4,4,67,Yes,0.03,0.01,0.04,NA,0.09
Namco Museum,Namco Bandai Games,Namco Bandai Games,Collection,Other,2002,2002,E,EE10,2,2,62,No,0.48,0.13,NA,0.02,0.63
Namco Museum: 50th Anniversary,Namco Bandai Games,Namco Bandai Games,Collection,Other,2005,2005,E10,EE10,2,2,60,No,0.17,0.04,NA,0.01,0.21
Naruto: Clash of Ninja,Tomy Corporation,Other,Fighting,Fighting,2003,2003,T,TM,2,2,72,Yes,0.53,0.14,0.21,0.03,0.89
Naruto: Clash of Ninja 2,Nintendo,Nintendo,Fighting,Fighting,2003,2003,T,TM,4,4,74,Yes,0.44,0.12,0.45,0.03,1.04
Naruto: Gekitou Ninja Taisen! 3,Tomy Corporation,Other,Fighting,Fighting,2004,2004,T,TM,4,4,NA,Yes,NA,NA,0.43,0.01,0.44
Naruto: Gekitou Ninja Taisen! 4,Tomy Corporation,Other,Fighting,Fighting,2005,2005,T,TM,4,4,NA,Yes,NA,NA,0.32,0.01,0.33
NASCAR 2005: Chase for the Cup,Electronic Arts,Electronic Arts,Racing,Racing,2004,2004,E,EE10,2,2,NA,No,0.1,0.02,NA,NA,0.12
NASCAR Thunder 2003,Electronic Arts,Electronic Arts,Racing,Racing,2002,2002,E,EE10,4,4,85,No,0.24,0.06,NA,0.01,0.31
NASCAR: Dirt to Daytona,Infogrames Entertainment,Other,Racing,Racing,2002,2002,E,EE10,4,4,85,No,0.07,0.02,NA,NA,0.09
NBA 2K2,Sega,Sega,Sports,Sports,2002,2002,E,EE10,4,4,90,No,0.09,0.02,NA,NA,0.12
NBA 2K3,Sega,Sega,Sports,Sports,2002,2002,E,EE10,4,4,84,No,0.12,0.03,NA,NA,0.16
