Game,Publisher,Publisher2,Genre,Genre2,Release.Year,Release.Year2,ESRB.Rating,ESRB.Rating2,Multiplayer,Multiplayer2,Metacritic.Score,Exclusivity,Sales.N.A.,Sales.Eur,Sales.Jap,Sales.Other,Sales.Total
Rayman Arena,Ubisoft,Ubisoft,Racing,Racing,2002,2002,E,EE10,4,4,60,No,0.11,0.03,NA,NA,0.14
Red Faction II,THQ,THQ,Shooter,Shooter,2003,2003,M,TM,4,4,79,No,0.03,0.01,NA,NA,0.03
RedCard 20-03,Midway Games,Midway Games,Sports,Sports,2002,2002,E,EE10,4,4,71,No,0.02,NA,NA,NA,0.02
Reign of Fire,BAM! Entertainment,Other,Shooter,Shooter,2002,2002,T,TM,1,1,54,No,0.08,0.02,NA,NA,0.11
Resident Evil,Capcom,Capcom,ActionAdventure,ActionAdventure,2002,2002,M,TM,1,1,91,Yes,0.63,0.38,0.35,0.05,1.42
Resident Evil - Code: Veronica X,Capcom,Capcom,ActionAdventure,ActionAdventure,2003,2003,M,TM,1,1,62,No,0.05,0.01,NA,NA,0.06
Resident Evil 2,Capcom,Capcom,ActionAdventure,ActionAdventure,2003,2003,M,TM,1,1,59,Yes,0.04,0.01,NA,NA,0.06
Resident Evil 3: Nemesis,Capcom,Capcom,ActionAdventure,ActionAdventure,2003,2003,M,TM,1,1,62,Yes,0.06,0.02,NA,NA,0.08
Resident Evil 4,Capcom,Capcom,ActionAdventure,ActionAdventure,2005,2005,M,TM,1,1,96,No,0.98,0.42,0.22,0.06,1.69
Resident Evil Zero,Capcom,Capcom,ActionAdventure,ActionAdventure,2002,2002,M,TM,1,1,83,Yes,0.54,0.27,0.45,0.04,1.29
Ribbit King,Atari,Atari,Sports,Sports,2003,2003,E,EE10,4,4,60,No,0.04,0.01,NA,NA,0.05
Road Trip: The Arcade Edition,Zoo Digital Publishing,Other,Racing,Racing,2002,2002,E,EE10,4,4,NA,Yes,0.02,NA,NA,NA,0.02
RoadKill,Midway Games,Midway Games,ActionAdventure,ActionAdventure,2003,2003,M,TM,4,4,64,No,0.02,0.01,NA,NA,0.03
RoboCop,Titus,Other,Shooter,Shooter,2004,2004,NA,NA,1,1,NA,No,NA,NA,NA,NA,NA
Robotech: Battlecry,Take-Two Interactive,Take-Two Interactive,Shooter,Shooter,2002,2002,T,TM,2,2,74,No,0.13,0.03,NA,NA,0.16
Robots,Vivendi Games,Vivendi Games,ActionAdventure,ActionAdventure,2005,2005,E,EE10,1,1,56,No,0.12,0.03,NA,NA,0.16
Rocket Power: Beach Bandits,THQ,THQ,Platformer,Platformer,2002,2002,E,EE10,2,2,53,No,0.18,0.05,NA,0.01,0.23
Rocky,Rage Software,Other,Fighting,Fighting,2002,2002,T,TM,2,2,74,No,0.07,0.02,NA,NA,0.09
Rogue Ops,Kemco,Other,ActionAdventure,ActionAdventure,2003,2003,M,TM,1,1,65,No,0.04,0.01,NA,NA,0.05
Room Zoom: Race for Impact,Jaleco,Other,Racing,Racing,2004,2004,M,TM,4,4,NA,No,NA,NA,NA,NA,NA
Rugrats: Royal Ransom,THQ,THQ,Platformer,Platformer,2002,2002,E,EE10,2,2,NA,No,0.13,0.03,NA,NA,0.17
Samurai Jack: The Shadow of Aku,Sega,Sega,ActionAdventure,ActionAdventure,2004,2004,T,TM,1,1,59,No,0.01,NA,NA,NA,0.02
Scaler,Take-Two Interactive,Take-Two Interactive,Platformer,Platformer,2004,2004,E,EE10,1,1,69,No,0.03,0.01,NA,NA,0.04
Scooby-Doo! Mystery Mayhem,THQ,THQ,ActionAdventure,ActionAdventure,2004,2004,E,EE10,1,1,54,No,0.17,0.04,NA,0.01,0.22
Scooby-Doo! Night of 100 Frights,THQ,THQ,Platformer,Platformer,2002,2002,E,EE10,1,1,68,No,0.23,0.06,NA,0.01,0.3
Scooby-Doo! Unmasked,THQ,THQ,Platformer,Platformer,2005,2005,E,EE10,1,1,64,No,0.12,0.03,NA,NA,0.15
SD Gundam: Gashapon Wars,Namco Bandai Games,Namco Bandai Games,Strategy,Other,2005,2005,E,EE10,4,4,NA,Yes,NA,NA,0.07,NA,0.07
SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,Activision,Activision,ActionAdventure,ActionAdventure,2005,2005,E,EE10,1,1,NA,No,0.07,0.02,NA,NA,0.09
Second Sight,Codemasters,Other,ActionAdventure,ActionAdventure,2004,2004,T,TM,1,1,77,No,0.04,0.01,NA,NA,0.05
Sega Soccer Slam,Sega,Sega,Sports,Sports,2002,2002,E,EE10,4,4,84,No,0.05,0.01,NA,NA,0.07
Serious Sam: Next Encounter,Global Star,Other,Shooter,Shooter,2004,2004,M,TM,4,4,69,No,0.02,NA,NA,NA,0.02
Shadow The Hedgehog,Sega,Sega,Platformer,Platformer,2005,2005,E10,EE10,2,2,51,No,0.76,0.2,NA,0.03,0.99
Shaman King: Soul Fight,Namco Bandai Games,Namco Bandai Games,Platformer,Platformer,2003,2003,NA,NA,2,2,NA,Yes,NA,NA,0.05,NA,0.05
Shark Tale,Activision,Activision,ActionAdventure,ActionAdventure,2004,2004,E,EE10,1,1,69,No,0.23,0.06,NA,0.01,0.3
Shikigami no Shiro II,Kids Station,Other,Shooter,Shooter,2003,2003,E,EE10,2,2,NA,No,NA,NA,NA,NA,NA
Shinseiki GPX Cyber Formula: Road To The EVOLUTION,Sunrise Interactive,Other,Racing,Racing,2004,2004,NA,NA,4,4,NA,No,NA,NA,NA,NA,NA
Shrek 2,Activision,Activision,Platformer,Platformer,2004,2004,E,EE10,4,4,70,No,0.73,0.26,0.01,0.03,1.02
Shrek Extra Large,Take-Two Interactive,Take-Two Interactive,Platformer,Platformer,2002,2002,T,TM,4,4,36,No,0.13,0.03,NA,NA,0.17
Shrek Smash n' Crash Racing,Activision,Activision,Racing,Racing,2006,2005,E,EE10,2,2,NA,No,0.1,0.03,NA,NA,0.13
Shrek Super Party,Take-Two Interactive,Take-Two Interactive,Party,Other,2003,2003,E10,EE10,4,4,70,No,0.04,0.01,NA,NA,0.05
Shrek SuperSlam,Activision,Activision,ActionAdventure,ActionAdventure,2005,2005,E10,EE10,4,4,70,No,0.17,0.04,NA,0.01,0.22
Skies of Arcadia Legends,Atari,Atari,RolePlaying,RolePlaying,2002,2002,T,TM,1,1,84,Yes,0.17,0.04,NA,0.01,0.22
Smashing Drive,Namco Bandai Games,Namco Bandai Games,Racing,Racing,2002,2002,T,TM,2,2,47,No,0.06,0.01,NA,NA,0.07
Smuggler's Run: Warzones,Take-Two Interactive,Take-Two Interactive,Racing,Racing,2002,2002,T,TM,4,4,79,No,0.06,0.02,NA,NA,0.08
Sonic Adventure 2 Battle,Sega,Sega,Platformer,Platformer,2001,2002,E,EE10,2,2,73,Yes,1.7,0.59,0.21,0.07,2.56
Sonic Adventure DX: Director's Cut,Sega,Sega,Platformer,Platformer,2003,2003,E,EE10,1,1,57,Yes,0.87,0.3,0.06,0.03,1.27
Sonic Gems Collection,Sega,Sega,Collection,Other,2005,2005,E,EE10,4,4,64,No,0.32,0.08,NA,0.01,0.42
Sonic Heroes,Sega,Sega,Platformer,Platformer,2003,2003,E,EE10,2,2,72,No,1.05,0.44,0.06,0.04,1.6
Sonic Mega Collection,Sega,Sega,Collection,Other,2002,2002,E,EE10,2,2,75,No,1.47,0.48,0.05,0.06,2.05
Sonic Riders,Sega,Sega,Racing,Racing,2006,2005,E,EE10,4,4,59,No,0.71,0.18,NA,0.03,0.92
SoulCalibur II,Namco Bandai Games,Namco Bandai Games,Fighting,Fighting,2003,2003,T,TM,2,2,93,No,0.99,0.32,0.11,0.08,1.5
Space Raiders,Taito,Other,Shooter,Shooter,2003,2003,T,TM,2,2,40,No,0.01,NA,NA,NA,0.01
Spartan: Total Warrior,Sega,Sega,ActionAdventure,ActionAdventure,2005,2005,M,TM,1,1,73,No,0.05,0.01,NA,NA,0.07
Spawn: Armageddon,Electronic Arts,Electronic Arts,ActionAdventure,ActionAdventure,2003,2003,M,TM,1,1,61,No,0.05,0.01,NA,NA,0.07
Speed Kings,Acclaim Entertainment,Acclaim Entertainment,Racing,Racing,2003,2003,E,EE10,4,4,59,No,0.01,NA,NA,NA,0.02
Sphinx and the Cursed Mummy,THQ,THQ,ActionAdventure,ActionAdventure,2003,2003,T,TM,1,1,79,No,0.11,0.03,NA,NA,0.14
Spider-Man 2,Activision,Activision,ActionAdventure,ActionAdventure,2004,2004,T,TM,1,1,80,No,0.65,0.17,NA,0.02,0.84
Spider-Man: The Movie,Activision,Activision,ActionAdventure,ActionAdventure,2002,2002,E,EE10,1,1,76,No,0.86,0.27,0.01,0.04,1.19
Spirits & Spells,Wanadoo,Other,Platformer,Platformer,2003,2003,E,EE10,1,1,50,Yes,0.01,NA,NA,NA,0.02
SpongeBob SquarePants: Battle for Bikini Bottom,THQ,THQ,Platformer,Platformer,2003,2003,E,EE10,1,1,71,No,0.74,0.19,NA,0.03,0.95
SpongeBob SquarePants: Creature from the Krusty Krab,THQ,THQ,Platformer,Platformer,2006,2005,E,EE10,1,1,74,No,0.25,0.07,NA,0.01,0.33
"SpongeBob SquarePants: Lights, Camera, Pants!",THQ,THQ,Party,Other,2005,2005,E,EE10,4,4,NA,No,0.34,0.09,NA,0.01,0.44
SpongeBob SquarePants: Revenge of the Flying Dutchman,THQ,THQ,Platformer,Platformer,2002,2002,E,EE10,1,1,66,No,0.15,0.04,NA,0.01,0.2
Spy Hunter,Midway Games,Midway Games,Racing,Racing,2002,2002,T,TM,2,2,71,Yes,0.16,0.04,NA,0.01,0.2
Spyro: A Hero's Tail,Vivendi Games,Vivendi Games,Platformer,Platformer,2004,2004,E,EE10,1,1,62,No,0.22,0.06,NA,0.01,0.29
Spyro: Enter the Dragonfly,Universal Interactive,Other,Platformer,Platformer,2002,2002,E,EE10,1,1,48,No,0.55,0.14,NA,0.02,0.71
SRS: Street Racing Syndicate,Namco Bandai Games,Namco Bandai Games,Racing,Racing,2004,2004,T,TM,2,2,64,No,0.07,0.02,NA,NA,0.08
SSX 3,Electronic Arts,Electronic Arts,Sports,Sports,2003,2003,E,EE10,2,2,92,No,0.29,0.08,NA,0.01,0.38
SSX On Tour,Electronic Arts,Electronic Arts,Sports,Sports,2005,2005,E,EE10,2,2,80,No,0.13,0.03,NA,NA,0.17
SSX Tricky,Electronic Arts,Electronic Arts,Sports,Sports,2001,2002,E,EE10,2,2,87,No,0.42,0.11,NA,0.01,0.54
Star Fox Adventures,Nintendo,Nintendo,ActionAdventure,ActionAdventure,2002,2002,T,TM,1,1,82,Yes,0.96,0.53,0.3,0.09,1.87
Star Fox: Assault,Nintendo,Nintendo,Shooter,Shooter,2005,2005,T,TM,4,4,67,Yes,0.68,0.18,0.19,0.03,1.08
Star Wars Jedi Knight II: Jedi Outcast,Activision,Activision,Shooter,Shooter,2002,2002,T,TM,2,2,75,No,0.18,0.05,NA,0.01,0.23
Star Wars Rogue Leader: Rogue Squadron II,LucasArts,Other,Shooter,Shooter,2001,2002,T,TM,1,1,90,Yes,1.03,0.75,0.03,0.09,1.9
Star Wars Rogue Squadron III: Rebel Strike,LucasArts,Other,Shooter,Shooter,2003,2003,T,TM,2,2,75,Yes,0.62,0.16,NA,0.02,0.8
Star Wars: Bounty Hunter,LucasArts,Other,Shooter,Shooter,2002,2002,T,TM,1,1,67,No,0.2,0.05,NA,0.01,0.26
Star Wars: Clone Wars,Activision,Activision,Shooter,Shooter,2002,2002,T,TM,4,4,73,No,0.31,0.08,NA,0.01,0.4
Starsky & Hutch,BAM! Entertainment,Other,Racing,Racing,2003,2003,T,TM,2,2,59,No,0.08,0.02,NA,NA,0.11
Street Hoops,Activision,Activision,Sports,Sports,2002,2002,T,TM,2,2,56,No,0.09,0.02,NA,NA,0.12
Strike Force Bowling,Crave Entertainment,Other,Sports,Sports,2005,2005,E,EE10,4,4,47,No,0.05,0.01,NA,NA,0.06
Summoner: A Goddess Reborn,THQ,THQ,RolePlaying,RolePlaying,2003,2003,T,TM,1,1,72,No,0.04,0.01,NA,NA,0.05
Super Bubble Pop,Jaleco,Other,Puzzle,Other,2003,2003,E,EE10,2,2,54,No,0.04,0.01,NA,NA,0.05
Super Mario Strikers,Nintendo,Nintendo,Sports,Sports,2005,2005,E,EE10,4,4,76,Yes,0.98,0.38,0.2,0.04,1.61
Super Mario Sunshine,Nintendo,Nintendo,Platformer,Platformer,2002,2002,E,EE10,1,1,92,Yes,4.01,1.26,0.87,0.17,6.31
Super Monkey Ball,Sega,Sega,Puzzle,Other,2001,2002,E,EE10,4,4,87,Yes,0.95,0.37,0.1,0.04,1.46
Super Monkey Ball 2,Sega,Sega,Puzzle,Other,2002,2002,E,EE10,4,4,87,Yes,1.11,0.31,0.06,0.04,1.52
Super Monkey Ball Adventure,Sega,Sega,Platformer,Platformer,2006,2005,E,EE10,4,4,51,No,0.12,0.03,NA,NA,0.15
Super Robot Taisen GC,Banpresto,Other,Strategy,Other,2004,2004,NA,NA,1,1,NA,No,NA,NA,NA,NA,NA
Super Smash Bros. Melee,Nintendo,Nintendo,Fighting,Fighting,2001,2002,E,EE10,4,4,92,Yes,4.41,1.04,1.39,0.22,7.07
Superman: Shadow of Apokolips,Atari,Atari,ActionAdventure,ActionAdventure,2003,2003,E,EE10,1,1,66,No,0.06,0.02,NA,NA,0.08
Surf's Up,Ubisoft,Ubisoft,Sports,Sports,2007,2005,E10,EE10,4,4,NA,No,0.01,NA,NA,NA,0.01
Swingerz Golf,Eidos Interactive,Other,Sports,Sports,2002,2002,E,EE10,4,4,72,Yes,0.06,0.02,NA,NA,0.08
SX Superstar,Acclaim Entertainment,Acclaim Entertainment,Racing,Racing,2003,2003,T,TM,2,2,NA,No,0.03,0.01,NA,NA,0.03
Tak 2: The Staff of Dreams,THQ,THQ,Platformer,Platformer,2004,2004,E,EE10,2,2,72,No,0.26,0.07,NA,0.01,0.33
Tak and the Power of Juju,THQ,THQ,Platformer,Platformer,2003,2003,E,EE10,1,1,71,No,0.31,0.08,NA,0.01,0.4
Tak: The Great Juju Challenge,THQ,THQ,Platformer,Platformer,2005,2005,E,EE10,2,2,75,No,0.12,0.03,NA,NA,0.15
Tales of Symphonia,Namco Bandai Games,Namco Bandai Games,RolePlaying,RolePlaying,2003,2003,T,TM,4,4,86,Yes,0.54,0.21,0.31,0.04,1.1
Taxi 3,Ubisoft,Ubisoft,Racing,Racing,2003,2003,E,EE10,1,1,NA,No,NA,NA,NA,NA,NA
Taz Wanted,Atari,Atari,Platformer,Platformer,2002,2002,E,EE10,1,1,61,No,0.06,0.02,NA,NA,0.08
Teen Titans,THQ,THQ,ActionAdventure,ActionAdventure,2006,2005,E10,EE10,4,4,63,No,0.25,0.07,NA,0.01,0.33
Teenage Mutant Ninja Turtles,Konami Digital Entertainment,Konami Digital Entertainment,Platformer,Platformer,2003,2003,E,EE10,2,2,57,No,0.26,0.07,NA,0.01,0.34
Teenage Mutant Ninja Turtles 2: Battle Nexus,Konami Digital Entertainment,Konami Digital Entertainment,ActionAdventure,ActionAdventure,2004,2004,T,TM,4,4,49,No,0.15,0.04,NA,0.01,0.19
Teenage Mutant Ninja Turtles 3: Mutant Nightmare,Konami Digital Entertainment,Konami Digital Entertainment,ActionAdventure,ActionAdventure,2005,2005,E10,EE10,4,4,57,No,0.09,0.02,NA,NA,0.12
Tensai Bit-Kun: Gramon Battle,Taito,Other,RolePlaying,RolePlaying,2003,2003,NA,NA,2,2,NA,No,NA,NA,NA,NA,NA
Terminator 3: The Redemption,Atari,Atari,Shooter,Shooter,2004,2004,T,TM,2,2,68,No,0.02,NA,NA,NA,0.02
Tetris Worlds,THQ,THQ,Puzzle,Other,2002,2002,E,EE10,4,4,47,No,0.17,0.04,NA,0.01,0.22
The Adventures of Jimmy Neutron Boy Genius: Attack of the Twonkies,THQ,THQ,ActionAdventure,ActionAdventure,2004,2004,E,EE10,1,1,65,No,0.22,0.06,NA,0.01,0.28
The Adventures of Jimmy Neutron Boy Genius: Jet Fusion,THQ,THQ,ActionAdventure,ActionAdventure,2003,2003,E,EE10,1,1,60,No,0.09,0.02,NA,NA,0.11
The Ant Bully,Midway Games,Midway Games,Platformer,Platformer,2006,2005,E10,EE10,1,1,51,No,0.09,0.02,NA,NA,0.12
The Baseball 2003,Konami Digital Entertainment,Konami Digital Entertainment,Sports,Sports,2003,2003,NA,NA,2,2,NA,Yes,NA,NA,NA,NA,NA
"The Chronicles of Narnia: The Lion, The Witch and The Wordrobe",Disney Interactive Studios,Other,ActionAdventure,ActionAdventure,2005,2005,T,TM,2,2,71,No,0.22,0.06,NA,0.01,0.28
The Fairly Odd Parents: Shadow Showdown,THQ,THQ,Platformer,Platformer,2004,2004,E,EE10,2,2,61,No,0.16,0.04,NA,0.01,0.2
The Fairly OddParents: Breakin' Da Rules,THQ,THQ,Platformer,Platformer,2003,2003,E,EE10,1,1,NA,No,0.16,0.04,NA,0.01,0.21
The Grim Adventures of Billy & Mandy,Midway Games,Midway Games,ActionAdventure,ActionAdventure,2006,2005,E10,EE10,4,4,69,No,0.13,0.03,NA,NA,0.17
The Hobbit,Vivendi Games,Vivendi Games,Platformer,Platformer,2003,2003,E,EE10,1,1,61,No,0.13,0.03,NA,NA,0.17
The Incredible Hulk: Ultimate Destruction,Vivendi Games,Vivendi Games,ActionAdventure,ActionAdventure,2005,2005,T,TM,1,1,84,No,0.11,0.03,NA,NA,0.15
The Incredibles,THQ,THQ,ActionAdventure,ActionAdventure,2004,2004,T,TM,1,1,63,No,0.65,0.17,NA,0.02,0.84
The Incredibles: Rise of the Underminer,THQ,THQ,Platformer,Platformer,2005,2005,E10,EE10,2,2,67,No,0.12,0.03,NA,NA,0.16
The Italian Job,Eidos Interactive,Other,Racing,Racing,2003,2003,T,TM,2,2,56,No,0.03,0.01,NA,NA,0.03
The Legend of Spyro: A New Beginning,Vivendi Games,Vivendi Games,Platformer,Platformer,2006,2005,E10,EE10,1,1,67,No,0.15,0.04,NA,0.01,0.19
The Legend of Zelda: Four Swords Adventures,Nintendo,Nintendo,ActionAdventure,ActionAdventure,2004,2004,E,EE10,4,4,86,Yes,0.63,0.16,NA,0.02,0.81
The Legend of Zelda: Ocarina of Time / Master Quest,Nintendo,Nintendo,ActionAdventure,ActionAdventure,2002,2002,E,EE10,1,1,91,Yes,NA,NA,NA,NA,NA
The Legend of Zelda: The Wind Waker,Nintendo,Nintendo,ActionAdventure,ActionAdventure,2002,2002,E,EE10,1,1,96,Yes,2.6,0.99,0.89,0.13,4.6
The Legend of Zelda: Twilight Princess,Nintendo,Nintendo,ActionAdventure,ActionAdventure,2006,2005,T,TM,1,1,96,Yes,1.15,0.36,0.04,0.04,1.59
The Lord of the Rings: The Return of the King,Electronic Arts,Electronic Arts,ActionAdventure,ActionAdventure,2003,2003,T,TM,2,2,84,No,0.53,0.14,NA,0.02,0.69
The Lord of the Rings: The Third Age,Electronic Arts,Electronic Arts,RolePlaying,RolePlaying,2004,2004,T,TM,2,2,74,No,0.22,0.06,NA,0.01,0.29
The Lord of the Rings: The Two Towers,Electronic Arts,Electronic Arts,ActionAdventure,ActionAdventure,2002,2002,T,TM,1,1,82,No,0.41,0.11,NA,0.01,0.53
The Polar Express,THQ,THQ,ActionAdventure,ActionAdventure,2004,2004,E,EE10,1,1,40,No,0.08,0.02,NA,NA,0.11
The Powerpuff Girls: Relish Rampage,BAM! Entertainment,Other,ActionAdventure,ActionAdventure,2002,2002,E,EE10,1,1,NA,No,0.05,0.01,NA,NA,0.07
The Scorpion King: Rise of the Akkadian,Universal Interactive,Other,ActionAdventure,ActionAdventure,2002,2002,T,TM,1,1,49,No,0.08,0.02,NA,NA,0.11
The Simpsons: Hit & Run,Vivendi Games,Vivendi Games,Racing,Racing,2003,2003,T,TM,4,4,79,No,0.77,0.2,NA,0.03,0.99
The Simpsons: Road Rage,Electronic Arts,Electronic Arts,Racing,Racing,2001,2002,T,TM,2,2,67,No,0.19,0.05,NA,0.01,0.24
The Sims,Electronic Arts,Electronic Arts,Simulation,Other,2003,2003,T,TM,2,2,85,No,0.35,0.13,NA,0.01,0.49
The Sims 2,Electronic Arts,Electronic Arts,Simulation,Other,2005,2005,T,TM,2,2,73,No,0.26,0.07,NA,0.01,0.33
The Sims 2: Pets,Electronic Arts,Electronic Arts,Simulation,Other,2006,2005,T,TM,2,2,66,No,0.21,0.05,NA,0.01,0.27
The Sims: Bustin' Out,Electronic Arts,Electronic Arts,Simulation,Other,2003,2003,T,TM,2,2,81,No,0.43,0.2,NA,0.03,0.66
The SpongeBob SquarePants Movie,THQ,THQ,Platformer,Platformer,2004,2004,E,EE10,1,1,73,No,0.73,0.19,NA,0.03,0.94
The Sum of All Fears,Ubisoft,Ubisoft,Shooter,Shooter,2003,2003,T,TM,1,1,36,No,0.03,0.01,NA,NA,0.03
The Urbz: Sims in the City,Electronic Arts,Electronic Arts,Simulation,Other,2004,2004,T,TM,2,2,73,No,0.24,0.14,NA,0.02,0.4
Tiger Woods PGA Tour 06,Electronic Arts,Electronic Arts,Sports,Sports,2005,2005,E,EE10,4,4,82,No,0.08,0.02,NA,NA,0.11
Tiger Woods PGA Tour 2003,Electronic Arts,Electronic Arts,Sports,Sports,2002,2002,E,EE10,4,4,90,No,0.18,0.05,NA,0.01,0.23
Tiger Woods PGA Tour 2004,Electronic Arts,Electronic Arts,Sports,Sports,2003,2003,E,EE10,4,4,89,No,0.12,0.03,NA,NA,0.16
Tiger Woods PGA Tour 2005,Electronic Arts,Electronic Arts,Sports,Sports,2004,2004,E,EE10,4,4,88,No,0.1,0.03,NA,NA,0.14
TimeSplitters 2,Eidos Interactive,Other,Shooter,Shooter,2002,2002,T,TM,4,4,88,No,0.34,0.09,NA,0.01,0.44
TimeSplitters: Future Perfect,Electronic Arts,Electronic Arts,Shooter,Shooter,2005,2005,M,TM,4,4,82,No,0.06,0.02,NA,NA,0.08
TMNT,Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,2007,2005,E10,EE10,1,1,63,No,NA,NA,NA,NA,NA
TMNT: Mutant Melee,Konami Digital Entertainment,Konami Digital Entertainment,Fighting,Fighting,2005,2005,T,TM,4,4,44,No,0.06,0.01,NA,NA,0.07
Tom and Jerry in War of the Whiskers,NewKidCo,Other,ActionAdventure,ActionAdventure,2003,2003,T,TM,4,4,NA,No,0.05,0.01,NA,NA,0.07
Tom Clancy's Ghost Recon,Ubisoft,Ubisoft,Shooter,Shooter,2003,2003,M,TM,2,2,59,No,0.11,0.03,NA,NA,0.15
Tom Clancy's Ghost Recon 2,Ubisoft,Ubisoft,Shooter,Shooter,2005,2005,T,TM,1,1,54,No,0.06,0.01,NA,NA,0.07
Tom Clancy's Rainbow Six 3,Ubisoft,Ubisoft,Shooter,Shooter,2004,2004,M,TM,2,2,68,No,0.04,0.01,NA,NA,0.06
Tom Clancy's Rainbow Six: Lockdown,Ubisoft,Ubisoft,Shooter,Shooter,2005,2005,M,TM,2,2,72,No,0.04,0.01,NA,NA,0.05
Tom Clancy's Splinter Cell,Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,2003,2003,T,TM,1,1,89,No,0.18,0.05,NA,0.01,0.23
Tom Clancy's Splinter Cell: Chaos Theory,Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,2005,2005,M,TM,2,2,81,No,0.08,0.02,NA,NA,0.1
Tom Clancy's Splinter Cell: Double Agent,Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,2006,2005,M,TM,2,2,64,No,0.04,0.01,NA,NA,0.06
Tom Clancy's Splinter Cell: Pandora Tomorrow,Ubisoft,Ubisoft,ActionAdventure,ActionAdventure,2004,2004,T,TM,1,1,78,No,0.06,0.02,NA,NA,0.08
Tomb Raider: Legend,Eidos Interactive,Other,ActionAdventure,ActionAdventure,2006,2005,T,TM,1,1,78,No,0.06,0.02,NA,NA,0.08
Tonka Rescue Patrol,Take-Two Interactive,Take-Two Interactive,ActionAdventure,ActionAdventure,2003,2003,E,EE10,1,1,NA,Yes,0.05,0.01,NA,NA,0.06
Tony Hawk's American Wasteland,Activision,Activision,Sports,Sports,2005,2005,T,TM,2,2,76,No,0.33,0.08,NA,0.01,0.42
Tony Hawk's Pro Skater 3,Activision,Activision,Sports,Sports,2001,2002,T,TM,2,2,91,No,0.64,0.17,NA,0.02,0.82
Tony Hawk's Pro Skater 4,Activision,Activision,Sports,Sports,2002,2002,T,TM,2,2,91,No,0.45,0.12,NA,0.02,0.58
Tony Hawk's Underground,Activision,Activision,Sports,Sports,2003,2003,T,TM,2,2,89,No,0.54,0.14,NA,0.02,0.7
Tony Hawk's Underground 2,Activision,Activision,Sports,Sports,2004,2004,T,TM,2,2,82,No,0.38,0.1,NA,0.01,0.5
Top Angler: Real Bass Fishing,Xicat Interactive,Other,Sports,Sports,2002,2002,E,EE10,2,2,NA,No,NA,NA,NA,NA,NA
Top Gun: Combat Zones,Titus,Other,Simulation,Other,2002,2002,E,EE10,1,1,59,No,0.12,0.03,NA,NA,0.15
Transworld Surf: Next Wave,Atari,Atari,Sports,Sports,2003,2003,T,TM,4,4,68,No,NA,NA,NA,NA,NA
Trigger Man,Crave Entertainment,Other,Shooter,Shooter,2004,2004,T,TM,1,1,NA,No,0.01,NA,NA,NA,0.02
True Crime: New York City,Activision,Activision,ActionAdventure,ActionAdventure,2005,2005,M,TM,1,1,59,No,0.13,0.03,NA,NA,0.17
True Crime: Streets of LA,Activision,Activision,ActionAdventure,ActionAdventure,2003,2003,M,TM,1,1,77,No,0.44,0.11,NA,0.02,0.56
Tube Slider,NEC Interchannel,Other,Racing,Racing,2003,2003,E,EE10,4,4,62,Yes,0.02,NA,NA,NA,0.02
Turok: Evolution,Acclaim Entertainment,Acclaim Entertainment,Shooter,Shooter,2002,2002,M,TM,4,4,70,No,0.3,0.08,NA,0.01,0.38
Ty the Tasmanian Tiger,Electronic Arts,Electronic Arts,Platformer,Platformer,2002,2002,E,EE10,1,1,69,No,0.21,0.05,NA,0.01,0.27
Ty the Tasmanian Tiger 2: Bush Rescue,Electronic Arts,Electronic Arts,Platformer,Platformer,2004,2004,E,EE10,2,2,70,No,0.15,0.04,NA,0.01,0.2
Ty the Tasmanian Tiger 3: Night of the Quinkan,Activision,Activision,ActionAdventure,ActionAdventure,2005,2005,T,TM,2,2,68,No,0.07,0.02,NA,NA,0.09
UEFA Champions League 2004-2005,Electronic Arts,Electronic Arts,Sports,Sports,2005,2005,E,EE10,4,4,NA,No,NA,NA,NA,NA,NA
Ultimate Fighting Championship: Throwdown,Ubisoft,Ubisoft,Fighting,Fighting,2002,2002,T,TM,2,2,67,No,0.06,0.02,NA,NA,0.08
Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Genration,Namco Bandai Games,Namco Bandai Games,Fighting,Fighting,2002,2002,T,TM,4,4,77,Yes,0.04,0.01,0.08,NA,0.14
Ultimate Spider-Man,Activision,Activision,ActionAdventure,ActionAdventure,2005,2005,T,TM,1,1,76,No,0.29,0.07,NA,0.01,0.37
Universal Studios Theme Parks Adventure,Kemco,Other,Party,Other,2001,2002,T,TM,2,2,39,Yes,0.08,0.02,NA,NA,0.1
Vexx,Acclaim Entertainment,Acclaim Entertainment,Platformer,Platformer,2003,2003,T,TM,1,1,71,No,0.05,0.01,NA,NA,0.06
Viewtiful Joe,Capcom,Capcom,ActionAdventure,ActionAdventure,2003,2003,T,TM,1,1,93,No,0.38,0.1,0.12,0.02,0.62
Viewtiful Joe 2,Capcom,Capcom,ActionAdventure,ActionAdventure,2004,2004,T,TM,1,1,86,No,0.17,0.04,NA,0.01,0.22
Viewtiful Joe: Red Hot Rumble,Capcom,Capcom,ActionAdventure,ActionAdventure,2005,2005,T,TM,4,4,62,Yes,0.04,0.01,NA,NA,0.06
